[Thu Sep 06 09:19:19.006056 2018] [:error] [pid 3733] [client 127.0.0.1:57160] script '/var/www/html/practicehtml/otherfile.php' not found or unable to stat
[Thu Sep 06 09:25:56.622144 2018] [:error] [pid 3783] [client 127.0.0.1:57250] PHP Warning:  Unterminated comment starting line 9 in /var/www/html/practicehtml/index.php on line 9
[Thu Sep 06 09:34:39.418358 2018] [:error] [pid 3734] [client 127.0.0.1:57388] PHP Parse error:  syntax error, unexpected end of file in /var/www/html/practicehtml/upload_image.php on line 10, referer: http://localhost/image_upload.html
[Thu Sep 06 09:38:31.116919 2018] [:error] [pid 3735] [client 127.0.0.1:57408] PHP Notice:  Array to string conversion in /var/www/html/practicehtml/upload_image.php on line 24, referer: http://localhost/image_upload.html
[Thu Sep 06 09:38:34.450540 2018] [:error] [pid 3783] [client 127.0.0.1:57410] PHP Notice:  Array to string conversion in /var/www/html/practicehtml/upload_image.php on line 24, referer: http://localhost/image_upload.html
[Thu Sep 06 09:57:41.502356 2018] [:error] [pid 3732] [client 127.0.0.1:57820] PHP Notice:  Only variables should be passed by reference in /var/www/html/practicehtml/upload_image.php on line 7, referer: http://localhost/image_upload.html
[Thu Sep 06 09:57:41.502522 2018] [:error] [pid 3732] [client 127.0.0.1:57820] PHP Warning:  move_uploaded_file(uploads/images/Screenshot from 2018-09-06 09-25-48.png): failed to open stream: No such file or directory in /var/www/html/practicehtml/upload_image.php on line 18, referer: http://localhost/image_upload.html
[Thu Sep 06 09:57:41.502562 2018] [:error] [pid 3732] [client 127.0.0.1:57820] PHP Warning:  move_uploaded_file(): Unable to move '/tmp/phpvr4qen' to 'uploads/images/Screenshot from 2018-09-06 09-25-48.png' in /var/www/html/practicehtml/upload_image.php on line 18, referer: http://localhost/image_upload.html
[Thu Sep 06 10:55:33.358014 2018] [:error] [pid 3734] [client 127.0.0.1:59852] PHP Warning:  preg_match(): Unknown modifier '&amp;' in /var/www/html/practicehtml/validate_signup.php on line 34, referer: http://localhost/signup.html
[Thu Sep 06 10:56:11.849646 2018] [:error] [pid 3735] [client 127.0.0.1:59864] PHP Warning:  preg_match(): Unknown modifier '&amp;' in /var/www/html/practicehtml/validate_signup.php on line 34, referer: http://localhost/signup.html
[Thu Sep 06 11:09:28.349156 2018] [:error] [pid 3735] [client 127.0.0.1:60028] PHP Notice:  Use of undefined constant error - assumed 'error' in /var/www/html/practicehtml/validate_signup.php on line 13, referer: http://localhost/signup.html
[Thu Sep 06 11:09:28.349206 2018] [:error] [pid 3735] [client 127.0.0.1:60028] PHP Notice:  Use of undefined constant error - assumed 'error' in /var/www/html/practicehtml/validate_signup.php on line 23, referer: http://localhost/signup.html
